location,ding,yao,ke,effetive,dilivered,elector,voting_rate
1,338,196,316,862,871,"1,288",67.62
2,326,243,412,988,999,"1,362",73.35
3,247,144,306,702,711,"1,039",68.43
4,282,177,307,775,779,"1,175",66.3
5,315,183,378,886,890,"1,289",68.97
6,306,194,340,847,849,"1,220",69.59
7,348,214,478,"1,045","1,047","1,538",68.08
8,367,215,428,"1,019","1,030","1,540",66.88
9,337,199,427,972,981,"1,444",67.94
10,347,174,396,923,928,"1,423",65.21
11,358,175,411,951,959,"1,410",68.01
12,420,197,467,"1,087","1,100","1,567",70.2
13,370,172,418,965,972,"1,479",65.65
14,326,184,396,913,917,"1,470",62.38
15,386,158,422,971,978,"1,495",65.42
16,421,180,437,"1,050","1,059","1,597",66.31
17,432,132,406,979,"1,007","1,484",67.86
18,479,189,417,"1,091","1,100","1,649",66.71
19,440,171,446,"1,063","1,077","1,683",63.99
20,410,174,444,"1,035","1,042","1,534",67.93
21,413,145,403,970,974,"1,482",65.65
22,468,175,410,"1,060","1,065","1,675",63.58
23,421,202,408,"1,033","1,042","1,644",63.38
24,392,190,441,"1,029","1,039","1,656",62.74
25,439,193,467,"1,104","1,113","1,640",67.8
26,468,175,450,"1,100","1,107","1,667",66.41
27,416,183,405,"1,015","1,018","1,555",65.47
28,445,207,413,"1,067","1,074","1,673",64.2
29,426,196,408,"1,040","1,044","1,554",67.18
30,451,202,418,"1,082","1,088","1,648",66.02
31,350,194,407,957,967,"1,497",64.6
32,387,289,398,"1,084","1,092","1,585",68.9
33,413,172,365,959,963,"1,459",66
34,417,200,421,"1,043","1,050","1,562",67.22
35,468,121,405,999,"1,007","1,621",62.12
36,456,171,355,993,"1,002","1,631",61.43
37,499,170,429,"1,101","1,114","1,795",62.06
38,409,174,468,"1,054","1,061","1,626",65.25
39,439,127,419,996,"1,005","1,469",68.41
40,341,160,406,915,921,"1,352",68.12
41,352,156,335,847,856,"1,231",69.54
42,337,124,297,764,769,"1,094",70.29
43,428,133,345,914,920,"1,196",76.92
44,387,153,411,965,979,"1,435",68.22
45,422,140,379,950,957,"1,447",66.14
46,399,145,423,977,987,"1,423",69.36
47,421,140,402,970,981,"1,427",68.75
48,413,93,397,907,916,"1,389",65.95
49,320,210,419,953,963,"1,428",67.44
50,299,173,442,922,937,"1,417",66.13
51,343,181,390,924,929,"1,408",65.98
52,310,176,347,839,847,"1,280",66.02
53,306,173,389,872,879,"1,321",66.54
54,286,206,351,846,856,"1,304",65.57
55,372,173,433,991,998,"1,480",67.43
56,355,170,472,"1,001","1,008","1,571",64.16
57,303,181,419,906,909,"1,461",62.22
