Time-¤B¦u¤¤,PTS_1,TTV_1,SET_1,CTV_1,EHS_1,Time-¬_¤å­õ,PTS_2,TTV_2,SET_2,CTV_2,EHS_2
16:00,,0,0,0,0,16:00,,0,0,0,0
16:05,,0,0,0,0,16:05,,0,0,0,0
16:10,,0,0,0,22,16:10,,0,0,0,17
16:15,,68,438,0,68,16:15,,52,482,0,52
16:20,,71,3730,4253,125,16:20,,462,4278,3662,97
16:25,,3962,4318,5958,1957,16:25,,4527,5218,5452,2153
16:30,,3962,8092,7821,3074,16:30,,4527,8107,7294,3042
16:35,,5613,8298,8731,5332,16:35,,5930,8831,8267,5478
16:40,,8526,21453,27344,7612,16:40,,9139,25577,26796,8035
16:45,,23012,41345,43348,19412,16:45,,21457,41208,42941,21196
16:50,,42144,60987,74001,38119,16:50,,41003,61244,72806,42869
16:55,164,64810,82288,84547,66704,16:55,210,65273,85467,84287,74308
17:00,164,80243,105769,104164,85568,17:00,210,83197,108989,101491,92108
17:05,1468,95734,135749,117034,100108,17:05,1266,97109,138986,114720,109964
17:10,2636,120439,167689,144366,115764,17:10,2176,126104,168714,140278,127006
17:15,4499,130345,185698,168443,143008,17:15,4120,132802,186875,167133,149034
17:20,6065,157809,214799,198850,172776,17:20,6181,160177,217965,198143,179063
17:25,10326,184015,239903,225234,200043,17:25,10259,188186,240817,223769,208891
17:30,14897,215711,239903,244819,220067,17:30,14087,216508,240817,244850,238033
17:35,21201,239907,250019,263595,236642,17:35,19720,241566,250429,263595,252232
17:40,26792,266108,280113,280254,250339,17:40,25566,268712,280457,284130,268853
17:45,33722,285033,300671,312114,267036,17:45,32779,286634,304378,306929,288991
17:50,42936,315592,322005,322627,292667,17:50,42517,320425,323801,321677,314709
17:55,52637,320089,333991,345783,324906,17:55,52126,324511,334018,344850,339986
18:00,61484,350724,353790,363953,345567,18:00,60752,350816,355569,358289,353239
18:05,70437,360054,374215,373877,358792,18:05,70153,363719,366403,376934,366909
18:10,75081,378154,380210,377703,368793,18:10,75150,374012,378184,380634,369979
18:15,86941,381039,385978,381840,380063,18:15,86300,376028,381557,388079,382334
18:20,94847,385952,392035,391590,385262,18:20,94773,381437,392087,395875,386117
18:25,102613,394124,400118,392079,391192,18:25,102344,391032,400525,396358,392077
18:30,111598,395014,400118,397911,393019,18:30,111094,396735,402525,395079,395223
18:35,122660,395014,400118,398062,393396,18:35,122668,396735,400525,399148,396316
18:40,134663,395014,400121,399330,394031,18:40,134982,396735,400532,399443,397256
18:45,143558,400102,400121,401955,395107,18:45,143873,400329,400532,400291,397913
18:50,151869,400102,401189,404171,398669,18:50,152705,400329,402985,401333,405213
18:55,162855,400102,401451,406557,399023,18:55,164568,400329,406478,401447,405908
19:00,174226,400102,407580,409752,399023,19:00,174914,400329,409821,407550,405908
19:05,183895,400102,410335,413259,401082,19:05,184610,400329,411778,411439,408939
19:10,196398,400102,415867,418406,402337,19:10,196698,400329,418124,418045,409734
19:15,204413,410425,418812,420522,402337,19:15,205255,411635,420532,418399,409734
19:20,214832,410425,418903,422207,403861,19:20,215656,411635,422376,420524,411323
19:25,222534,410425,420726,424420,403861,19:25,222965,411635,423521,420897,411323
19:30,231762,410425,422108,424916,403861,19:30,231691,411635,424418,424022,411323
19:35,242500,410425,424185,426465,408312,19:35,242270,411635,424623,428021,411558
19:40,252912,410425,429278,430973,411786,19:40,252880,411635,430687,429448,411558
19:45,267406,410425,429803,433414,411786,19:45,268110,411635,432168,430407,412264
19:50,277241,428045,431082,433516,411938,19:50,277655,431538,433751,430688,412264
19:55,283595,428045,431082,434120,411938,19:55,284083,431538,433751,431205,412264
20:00,297165,428045,431082,437176,411938,20:00,297353,431538,433751,432923,412264
20:05,305786,428045,436371,438732,411938,20:05,306588,431538,438462,433929,412264
20:10,315078,428045,436823,439114,411938,20:10,315371,431538,439128,436714,412264
20:15,327553,428045,436823,439830,411938,20:15,327141,431538,439128,437482,412264
20:20,334700,428045,440008,442577,411938,20:20,334482,431538,441658,442871,412264
20:25,344185,428045,444031,443164,411938,20:25,343325,431538,444135,443595,412264
20:30,352332,428045,443356,444129,411938,20:30,351846,431538,443825,444664,412264
20:35,362123,428045,443356,445579,411938,20:35,361229,431538,443825,445685,412264
20:40,366987,428045,,445853,411938,20:40,366174,431538,,446070,412264
20:45,379005,428045,,445853,411938,20:45,377587,431538,,446070,412264
20:50,392502,428045,446057,446167,411938,20:50,391659,431538,446169,446487,412264
20:55,404111,428045,446057,446167,411938,20:55,403915,431538,446169,446487,412264
21:00,414988,428045,446057,446167,417489,21:00,416054,431538,446169,446487,418183
21:05,423108,430687,446786,446929,425652,21:05,423275,431538,446928,446790,425656
21:10,430523,430687,446786,446929,430523,21:10,431012,431538,446928,446790,431012
21:15,434734,434734,446786,446929,434734,21:15,435278,435278,446928,446790,435278
21:20,440782,438668,447023,448230,440782,21:20,441017,439356,447230,447801,441017
21:25,445477,438668,447802,448230,445477,21:25,446104,439356,448226,447801,446104
21:30,449515,446500,447802,452166,449515,21:30,450997,447281,448226,450574,450997
21:35,456323,452503,452509,459712,456323,21:35,458531,454767,457813,457107,458531
21:40,461151,452503,461163,464206,461572,21:40,463807,454767,463824,461572,464206
21:45,465369,456323,464951,467373,465369,21:45,467373,458531,466995,465369,467373
21:50,469712,456323,468259,473017,469712,21:50,472199,458531,470523,470267,472199
21:55,473000,456323,473000,477064,473000,21:55,476039,458531,476039,473903,476039
22:00,479243,456323,476639,482859,480063,22:00,482034,458531,479933,480063,482859
22:05,488165,456323,487332,,488165,22:05,490947,458531,490079,,490947
22:10,497066,490667,,,497066,22:10,500039,492528,,,500039
22:15,502124,504227,502925,,502124,22:15,504712,504919,505557,,504712
22:20,506859,506017,506859,,508405,22:20,509185,508312,509185,,510487
22:25,514214,514317,519476,,514214,22:25,515520,515912,520104,,515520
22:30,522162,514317,522162,,522162,22:30,522895,515912,522895,,522895
22:35,525015,524417,524273,,525800,22:35,524586,524502,524313,,525268
22:40,527258,525917,525268,,527258,22:40,526745,525402,525800,,526745
22:45,529545,525917,529545,,529035,22:45,529035,525402,529035,,529545
22:50,532556,529621,530602,,532556,22:50,532293,529108,530247,,532293
22:55,534276,532611,534276,,534276,22:55,534019,532364,534019,,534019
23:00,535413,534301,535413,,535413,23:00,535169,534064,535169,,535169
23:05,537044,535432,537044,,537044,23:05,536294,535184,536294,,536294
23:10,539024,537092,538436,,539024,23:10,538388,536314,537658,,538388
23:15,540994,538733,540994,,540994,23:15,540986,538050,540986,,540986
23:20,544965,542084,544162,,544965,23:20,545659,542313,544938,,545659
23:25,547768,544162,547768,,548287,23:25,548480,544938,548480,,549342
23:30,550796,548287,549814,,550796,23:30,552024,549342,550823,,552024
23:35,552815,550796,552455,,552455,23:35,555023,552024,554571,,554571
23:40,553883,552815,553883,,553883,23:40,556148,555023,556148,,556148
23:45,556420,553885,556420,,556617,23:45,558538,556148,558538,,558786
23:50,560609,556617,560609,,560609,23:50,562358,558786,562358,,562358
23:55,561052,560609,561052,,561052,23:55,562704,562358,562704,,562704
00:00,,563618,562333,,562333,00:00,,564090,564090,,564090
00:05,,563618,563051,,563051,00:05,,564090,564877,,564877
00:10,,563618,563051,,563051,00:10,,564877,564877,,564877
00:15,,563618,563051,,563051,00:15,,564877,564877,,564877
00:20,,563618,563051,,563051,00:20,,564877,564877,,564877
00:25,,563618,564103,,564326,00:25,,564877,566210,,566438
00:30,,563618,564326,,564326,00:30,,564877,566438,,566438
00:35,,563618,565301,,565301,00:35,,564877,567488,,567488
00:40,,565301,565301,,565301,00:40,,567488,567488,,567488
00:45,,566408,567652,,567652,00:45,,568646,569905,,569905
00:50,,568000,568000,,568000,00:50,,570260,570260,,570260
00:55,,568964,568964,,568964,00:55,,571246,571246,,571246
01:00,,568964,569393,,569393,01:00,,571246,571646,,571646
01:05,,568964,569745,,569745,01:05,,571246,572051,,572051
01:10,,570534,570534,,570534,01:10,,572901,572901,,572901
01:15,,570534,570534,,570534,01:15,,572901,572901,,572901
01:20,,570534,570534,,570534,01:20,,572901,572901,,572901
01:25,,570534,570534,,570534,01:25,,572901,572901,,572901
01:30,,570534,570534,,570534,01:30,,572901,572901,,572901
01:35,,570534,570534,,570534,01:35,,572901,572901,,572901
01:40,,570534,570534,,570534,01:40,,572901,572901,,572901
01:45,,570534,570534,,570534,01:45,,572901,572901,,572901
01:50,,570534,571324,,572348,01:50,,572901,573769,,575104
01:55,,570534,572938,,572938,01:55,,573093,575735,,575735
02:00,,570845,572938,,572938,02:00,,574600,575735,,575735
02:05,,571206,573264,,573264,02:05,,574828,576085,,576085
02:10,,571900,573264,,573264,02:10,,575598,576085,,576085
02:15,,574320,574320,,573424,02:15,,577964,577964,,577076
02:20,,575582,575582,,575582,02:20,,579212,579212,,579212
02:25,,576030,576030,,576030,02:25,,579550,579550,,579550
02:30,,576867,576867,,576867,02:30,,580256,580256,,580256
02:35,,577183,577183,,577183,02:35,,580518,580518,,580518
02:40,,577566,577566,,577566,02:40,,580820,580820,,580820
,,,577566,,,,,,580820,,
,,,577566,,,,,,580820,,
